team,ft_rate,team_key,three_rate,two_rate,two_pt_pct,three_pt_pct,efg_pct,pace,off_rating,def_rating,turnover_rate,ast_rate,orb_rate,net_rating,shot_selection_balance,source_season_label,source_date
Columbia,0.212,columbia,0.375,0.625,0.532,0.359,0.535,69.8,107.4,105.4,0.188,0.543,0.325,2.0,0.163,2025,2026-03-18
Coppin St,0.263,coppin st,0.35200000000000004,0.648,0.45799999999999996,0.307,0.45899999999999996,71.0,90.5,114.1,0.217,0.515,0.276,-23.599999999999994,0.08900000000000002,2025,2026-03-18
Cornell,0.226,cornell,0.516,0.484,0.597,0.38299999999999995,0.585,73.6,116.6,114.99999999999999,0.156,0.666,0.28300000000000003,1.6000000000000085,0.29000000000000004,2025,2026-03-18
Creighton,0.20800000000000002,creighton,0.48200000000000004,0.518,0.5429999999999999,0.345,0.531,70.1,107.1,107.0,0.162,0.584,0.256,0.09999999999999432,0.274,2025,2026-03-18
CS Bakersfield,0.294,cs bakersfield,0.289,0.711,0.466,0.29,0.457,74.8,96.2,111.5,0.183,0.446,0.284,-15.299999999999997,-0.0050000000000000044,2025,2026-03-18
CS Fullerton,0.276,cs fullerton,0.431,0.569,0.514,0.342,0.514,77.3,103.8,106.3,0.14800000000000002,0.552,0.21600000000000003,-2.5,0.15499999999999997,2025,2026-03-18
CS Northridge,0.252,cs northridge,0.336,0.664,0.526,0.324,0.513,77.9,103.60000000000001,104.4,0.17,0.566,0.28800000000000003,-0.7999999999999972,0.08400000000000002,2025,2026-03-18
Dartmouth,0.271,dartmouth,0.48700000000000004,0.513,0.494,0.361,0.518,71.1,102.8,110.2,0.17300000000000001,0.539,0.21899999999999997,-7.400000000000006,0.21600000000000003,2025,2026-03-18
Davidson,0.23199999999999998,davidson,0.445,0.555,0.522,0.354,0.526,66.3,105.3,103.3,0.155,0.536,0.265,2.0,0.21300000000000002,2025,2026-03-18
Dayton,0.324,dayton,0.415,0.585,0.521,0.341,0.517,70.3,105.80000000000001,99.5,0.17,0.599,0.252,6.300000000000011,0.09099999999999997,2025,2026-03-18
Delaware,0.222,delaware,0.462,0.5379999999999999,0.517,0.368,0.5329999999999999,66.5,102.0,111.4,0.179,0.523,0.183,-9.400000000000006,0.24000000000000002,2025,2026-03-18
Delaware St,0.244,delaware st,0.289,0.711,0.431,0.284,0.429,67.9,87.8,105.1,0.195,0.458,0.256,-17.299999999999997,0.044999999999999984,2025,2026-03-18
Denver,0.256,denver,0.386,0.614,0.526,0.368,0.536,70.9,113.19999999999999,118.5,0.14,0.402,0.287,-5.300000000000011,0.13,2025,2026-03-18
DePaul,0.255,depaul,0.391,0.609,0.505,0.325,0.498,69.4,101.29999999999998,100.29999999999998,0.17300000000000001,0.609,0.284,1.0,0.136,2025,2026-03-18
Detroit Mercy,0.244,detroit mercy,0.307,0.693,0.48100000000000004,0.35100000000000003,0.495,71.4,106.89999999999999,110.3,0.157,0.485,0.317,-3.4000000000000057,0.063,2025,2026-03-18
Drake,0.252,drake,0.457,0.5429999999999999,0.517,0.34,0.514,69.8,105.89999999999999,109.4,0.147,0.516,0.242,-3.500000000000014,0.20500000000000002,2025,2026-03-18
Drexel,0.22899999999999998,drexel,0.4,0.6,0.49,0.355,0.507,67.0,100.49999999999999,100.89999999999999,0.185,0.536,0.295,-0.4000000000000057,0.17100000000000004,2025,2026-03-18
Duke,0.27699999999999997,duke,0.444,0.556,0.601,0.35100000000000003,0.568,68.7,119.8,91.9,0.153,0.589,0.365,27.89999999999999,0.16700000000000004,2025,2026-03-18
Duquesne,0.276,duquesne,0.444,0.556,0.545,0.331,0.523,71.9,106.89999999999999,105.5,0.17300000000000001,0.559,0.285,1.3999999999999915,0.16799999999999998,2025,2026-03-18
E Carolina,0.284,e carolina,0.311,0.6890000000000001,0.475,0.293,0.46399999999999997,72.1,99.1,107.69999999999999,0.166,0.473,0.302,-8.599999999999994,0.027000000000000024,2025,2026-03-18
E Illinois,0.242,e illinois,0.299,0.701,0.449,0.317,0.457,68.7,94.0,105.1,0.18100000000000002,0.487,0.256,-11.099999999999994,0.056999999999999995,2025,2026-03-18
E Kentucky,0.23,e kentucky,0.508,0.49200000000000005,0.516,0.35,0.521,71.4,108.5,116.39999999999999,0.165,0.533,0.316,-7.8999999999999915,0.278,2025,2026-03-18
E Michigan,0.217,e michigan,0.318,0.682,0.5,0.324,0.496,70.5,99.5,105.5,0.17,0.477,0.254,-6.0,0.101,2025,2026-03-18
E Tennessee St,0.257,e tennessee st,0.37799999999999995,0.622,0.5720000000000001,0.34700000000000003,0.5529999999999999,68.4,112.4,102.60000000000001,0.149,0.508,0.272,9.799999999999997,0.12099999999999994,2025,2026-03-18
E Texas A&M,0.231,e texas a and m,0.462,0.5379999999999999,0.512,0.313,0.49200000000000005,70.0,95.89999999999999,108.7,0.188,0.624,0.231,-12.800000000000011,0.231,2025,2026-03-18
E Washington,0.263,e washington,0.34700000000000003,0.653,0.536,0.359,0.537,71.1,109.3,111.4,0.17300000000000001,0.49,0.289,-2.1000000000000085,0.08400000000000002,2025,2026-03-18
Elon,0.249,elon,0.43200000000000005,0.568,0.528,0.34299999999999997,0.522,70.7,108.7,112.1,0.156,0.546,0.314,-3.3999999999999915,0.18300000000000005,2025,2026-03-18
Evansville,0.21600000000000003,evansville,0.431,0.569,0.499,0.322,0.493,69.3,95.0,112.99999999999999,0.187,0.543,0.203,-17.999999999999986,0.21499999999999997,2025,2026-03-18
F Dickinson,0.24100000000000002,f dickinson,0.452,0.5479999999999999,0.486,0.303,0.47100000000000003,66.3,98.2,109.60000000000001,0.17600000000000002,0.51,0.292,-11.400000000000006,0.211,2025,2026-03-18
Fairfield,0.213,fairfield,0.354,0.6459999999999999,0.48200000000000004,0.332,0.488,69.0,105.80000000000001,104.3,0.15,0.452,0.34600000000000003,1.5000000000000142,0.141,2025,2026-03-18
FGCU,0.22,fgcu,0.384,0.616,0.5329999999999999,0.332,0.52,72.0,106.4,108.3,0.155,0.52,0.28800000000000003,-1.8999999999999915,0.164,2025,2026-03-18
Florida,0.284,florida,0.371,0.629,0.579,0.308,0.535,74.1,117.10000000000001,97.2,0.161,0.54,0.43200000000000005,19.900000000000006,0.08700000000000002,2025,2026-03-18
Florida A&M,0.258,florida a and m,0.377,0.623,0.494,0.326,0.49200000000000005,72.3,96.8,103.8,0.21,0.526,0.292,-7.0,0.119,2025,2026-03-18
Florida Atlantic,0.243,florida atlantic,0.382,0.618,0.536,0.33299999999999996,0.522,72.8,106.0,103.49999999999999,0.172,0.471,0.302,2.500000000000014,0.139,2025,2026-03-18
Florida Intl,0.275,florida intl,0.327,0.6729999999999999,0.499,0.34700000000000003,0.506,74.6,104.2,106.0,0.172,0.492,0.322,-1.7999999999999972,0.05199999999999999,2025,2026-03-18
